model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
global_mean,default,temporal,rmse,,1.214944435139004,943,20000,20260903,20260904T070002,1788485402
global_mean,default,temporal,mae,,1.0065308604239276,943,20000,20260903,20260904T070002,1788485402
global_mean,default,temporal,precision_at_k,5.0,0.023178807947019868,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,recall_at_k,5.0,0.011582876766313704,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,coverage,5.0,0.011428571428571429,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,mean_popularity,5.0,117.40573951434878,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,popularity_percentile,5.0,0.8027819618468994,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,gini,5.0,0.996214863870493,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,precision_at_k,10.0,0.02328918322295806,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,recall_at_k,10.0,0.023571874039861232,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,coverage,10.0,0.01904761904761905,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,mean_popularity,10.0,140.48763796909492,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,popularity_percentile,10.0,0.8342546934035697,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,gini,10.0,0.9923363817933354,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,precision_at_k,20.0,0.0195364238410596,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,recall_at_k,20.0,0.03829952599811451,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,coverage,20.0,0.031746031746031744,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,mean_popularity,20.0,120.32295805739514,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,popularity_percentile,20.0,0.7993522640255141,906,0,20260903,20260904T070002,1788485402
global_mean,default,temporal,gini,20.0,0.9853509232979432,906,0,20260903,20260904T070002,1788485402
user_mean,default,temporal,rmse,,1.15698291241057,943,20000,20260903,20260904T070002,1788485403
user_mean,default,temporal,mae,,0.9270676518655964,943,20000,20260903,20260904T070002,1788485403
user_mean,default,temporal,precision_at_k,5.0,0.023178807947019868,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,recall_at_k,5.0,0.011582876766313704,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,coverage,5.0,0.011428571428571429,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,mean_popularity,5.0,117.40573951434878,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,popularity_percentile,5.0,0.8027819618468994,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,gini,5.0,0.996214863870493,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,precision_at_k,10.0,0.02328918322295806,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,recall_at_k,10.0,0.023571874039861232,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,coverage,10.0,0.01904761904761905,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,mean_popularity,10.0,140.48763796909492,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,popularity_percentile,10.0,0.8342546934035697,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,gini,10.0,0.9923363817933354,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,precision_at_k,20.0,0.0195364238410596,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,recall_at_k,20.0,0.03829952599811451,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,coverage,20.0,0.031746031746031744,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,mean_popularity,20.0,120.32295805739514,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,popularity_percentile,20.0,0.7993522640255141,906,0,20260903,20260904T070002,1788485403
user_mean,default,temporal,gini,20.0,0.9853509232979432,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,rmse,,1.0913249497144806,943,20000,20260903,20260904T070002,1788485403
item_mean,default,temporal,mae,,0.8774164260518333,943,20000,20260903,20260904T070002,1788485403
item_mean,default,temporal,precision_at_k,5.0,0.04039735099337748,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,recall_at_k,5.0,0.018644769606587085,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,coverage,5.0,0.020317460317460317,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,mean_popularity,5.0,169.70529801324503,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,popularity_percentile,5.0,0.9122604912611393,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,gini,5.0,0.9955734959178668,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,precision_at_k,10.0,0.04337748344370861,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,recall_at_k,10.0,0.040058431573130715,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,coverage,10.0,0.03238095238095238,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,mean_popularity,10.0,183.01280353200883,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,popularity_percentile,10.0,0.9134957266395709,906,0,20260903,20260904T070002,1788485403
item_mean,default,temporal,gini,10.0,0.9911887592417393,906,0,20260903,20260904T070002,1788485403
