model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,rmse,,1.00451426607924,943,9988,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,mae,,0.7841149865192107,943,9988,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,precision_at_k,5.0,0.021296296296296296,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,recall_at_k,5.0,0.01658325186552221,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,coverage,5.0,0.3136507936507936,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,mean_popularity,5.0,123.74560185185184,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,popularity_percentile,5.0,0.7722957550943573,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,gini,5.0,0.8967569077013522,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,precision_at_k,10.0,0.019097222222222224,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,recall_at_k,10.0,0.029576938804236265,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,coverage,10.0,0.42857142857142855,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,mean_popularity,10.0,115.5111111111111,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,popularity_percentile,10.0,0.7582016359593392,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,gini,10.0,0.8667633744855967,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,precision_at_k,20.0,0.01753472222222222,864,0,20260903,20260905T070000,1788571819
item_knn,"centering=item,neighbourhood_size=5,shrinkage=0.0",val,recall_at_k,20.0,0.051191818778199706,864,0,20260903,20260905T070000,1788571819
