model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,rmse,,0.9751329048694956,943,9988,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mae,,0.7682208481702716,943,9988,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,precision_at_k,5.0,0.027546296296296298,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,recall_at_k,5.0,0.021989747195350427,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,coverage,5.0,0.09587301587301587,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mean_popularity,5.0,176.40208333333334,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,popularity_percentile,5.0,0.8989545096239823,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,gini,5.0,0.9787583774250441,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,precision_at_k,10.0,0.02164351851851852,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,recall_at_k,10.0,0.034755702895899555,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,coverage,10.0,0.13206349206349208,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,mean_popularity,10.0,163.11331018518518,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,popularity_percentile,10.0,0.8767402289519506,864,0,20260903,20260905T065924,1788571791
mf,"learning_rate=0.005,n_factors=8,regularisation=0.005",val,gini,10.0,0.9703464138741916,864,0,20260903,20260905T065924,1788571791
